category,product_id,name,price_krw,url,image
트래블-전체,MMVEATT08BK001,MCM X HARPER COLLECTIVE 캐빈,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/mcm-x-harper-collective-%EC%BA%90%EB%B9%88/MMVEATT08BK001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMVEATT08BK001_01/mcm-x-harper-collective-black-56cm-22-?$medium$&fmt=auto&qlt=default
트래블-전체,MMKFAVE09K8001,Stark 비세토스 백팩,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/stark-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%B0%B1%ED%8C%A9/MMKFAVE09K8001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMKFAVE09K8001_01/stark-khaki-moss-m?$medium$&fmt=auto&qlt=default
트래블-전체,MMVFATT02K8001,Ottomar 비세토스 위켄더,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%9C%84%EC%BC%84%EB%8D%94/MMVFATT02K8001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMVFATT02K8001_01/ottomar-khaki-moss-41cm-16-14-?$medium$&fmt=auto&qlt=default
트래블-전체,MMVFATT01K8001,Ottomar ECONYL®과 가죽이 더해진 위켄더 백팩,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-econyl%C2%AE%EA%B3%BC-%EA%B0%80%EC%A3%BD%EC%9D%B4-%EB%8D%94%ED%95%B4%EC%A7%84-%EC%9C%84%EC%BC%84%EB%8D%94-%EB%B0%B1%ED%8C%A9/MMVFATT01K8001.html?cgid=travel-all-travel,https://kr.mcmworldwide.com/on/demandware.static/-/Sites-MCM_Master_Product_Catalog/default/dw762b7dc1/akeneo-entity/9/a/d/e/9ade2994012b05f550482e6a474a6eb2c21788d5_Icon_SUST.png
트래블-전체,MMVGSTT02L8001,Ottomar 그라데이션 비세토스 위켄더,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EA%B7%B8%EB%9D%BC%EB%8D%B0%EC%9D%B4%EC%85%98-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%9C%84%EC%BC%84%EB%8D%94/MMVGSTT02L8001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMVGSTT02L8001_01/ottomar-della-robbia-blue-45cm-17-7-?$medium$&fmt=auto&qlt=default
트래블-전체,MMVDSTT02BK001,Ottomar 비세토스 트롤리,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%8A%B8%EB%A1%A4%EB%A6%AC/MMVDSTT02BK001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMVDSTT02BK001_01/ottomar-black-54cm-21-3-?$medium$&fmt=auto&qlt=default
트래블-전체,MMKFSVE06BK001,리사이클 나일론 소재의 스타크 백팩,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/%EB%A6%AC%EC%82%AC%EC%9D%B4%ED%81%B4-%EB%82%98%EC%9D%BC%EB%A1%A0-%EC%86%8C%EC%9E%AC%EC%9D%98-%EC%8A%A4%ED%83%80%ED%81%AC-%EB%B0%B1%ED%8C%A9/MMKFSVE06BK001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMKFSVE06BK001_01/-black-m?$medium$&fmt=auto&qlt=default
트래블-전체,MMVFATT01BK001,Ottomar ECONYL® 가죽 위켄더 백팩,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/ottomar-econyl%C2%AE-%EA%B0%80%EC%A3%BD-%EC%9C%84%EC%BC%84%EB%8D%94-%EB%B0%B1%ED%8C%A9/MMVFATT01BK001.html?cgid=travel-all-travel,https://kr.mcmworldwide.com/on/demandware.static/-/Sites-MCM_Master_Product_Catalog/default/dw762b7dc1/akeneo-entity/9/a/d/e/9ade2994012b05f550482e6a474a6eb2c21788d5_Icon_SUST.png
트래블-전체,MEZFAMM03BK001,모노그램 나일론 레더 펫 케리어,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%EB%82%98%EC%9D%BC%EB%A1%A0-%EB%A0%88%EB%8D%94-%ED%8E%AB-%EC%BC%80%EB%A6%AC%EC%96%B4/MEZFAMM03BK001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MEZFAMM03BK001_01/-black-?$medium$&fmt=auto&qlt=default
트래블-전체,MMKEAVE05CO001,스타크 모노그램 나일론 패커블 백팩,,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/%EC%8A%A4%ED%83%80%ED%81%AC-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%EB%82%98%EC%9D%BC%EB%A1%A0-%ED%8C%A8%EC%BB%A4%EB%B8%94-%EB%B0%B1%ED%8C%A9/MMKEAVE05CO001.html?cgid=travel-all-travel,https://images.mcmworldwide.com/i/mcmworldwide/MMKEAVE05CO001_01/-cognac-m?$medium$&fmt=auto&qlt=default
